trial,phase,activeGame,outcome,action,conditioningLevel,engagementLevel,fatigueLevel,falsePositiveRatio,isUnconditioned,responseBudget,timingOffsetMs
1,conditioning,cars,genuine_response,reinforce,1.5,95.38,15.4,0,false,120,604.9426141040424
2,conditioning,cars,false_positive,reinforce,3,93.88,15.8,0,false,120,1966.4158749414578
3,conditioning,cars,genuine_response,reinforce,4.5,92.38,16.2,0,false,120,663.105451501945
4,conditioning,cars,genuine_response,reinforce,6,90.88,16.599999999999998,0,false,120,496.8288256221872
5,conditioning,cars,false_positive,reinforce,7.5,89.38,16.999999999999996,0,false,120,-212.93255716611247
6,conditioning,cars,no_response,reinforce,9,87.88,17.399999999999995,0,false,120,0
7,conditioning,cars,no_response,reinforce,10.5,86.38,17.799999999999994,0,false,120,0
8,conditioning,cars,genuine_response,reinforce,12,84.88,18.199999999999992,0,false,120,604.4814440155087
9,conditioning,cars,genuine_response,reinforce,13.5,83.38,18.59999999999999,0,false,120,452.06335104472464
10,conditioning,cars,genuine_response,reinforce,15,81.88,18.99999999999999,0,false,120,522.3665532456774
11,conditioning,cars,false_positive,reinforce,16.5,80.38,19.399999999999988,0,false,120,1762.4700782916796
12,conditioning,cars,genuine_response,reinforce,18,78.88,19.799999999999986,0,false,120,554.9023843568154
13,conditioning,cars,no_response,reinforce,19.5,77.38,20.199999999999985,0,false,120,0
